country,technology,carrier,heat_type,year,value,unit
XY,EDLH,Electricity,IND-LH,2025,0.79,GW
XY,EHPP,Electricity,IND-LH,2025,0.32,GW
XY,EIDT,Electricity,IND-HH,2025,0.74,GW
XY,IND_BOILER,Bio,IND-HH,2025,2.35,GW
XY,IND_BOILER,Bio,IND-LH,2025,5.8,GW
XY,IND_BOILER,Gas,IND-HH,2025,3.74,GW
XY,IND_BOILER,Gas,IND-LH,2025,5.0,GW
XY,IND_BOILER,Hrdc,IND-HH,2025,4.96,GW
XY,IND_BOILER,Hrdc,IND-LH,2025,1.9,GW
XY,IND_BOILER,Oil,IND-HH,2025,2.76,GW
XY,IND_BOILER,Oil,IND-LH,2025,3.54,GW
YZ,EDLH,Electricity,IND-LH,2025,0.79,GW
YZ,EERH,Electricity,IND-HH,2025,0.74,GW
YZ,EHPP,Electricity,IND-LH,2025,0.58,GW
YZ,EIDT,Electricity,IND-HH,2025,0.74,GW
YZ,IND_BOILER,Bio,IND-HH,2025,2.35,GW
YZ,IND_BOILER,Bio,IND-LH,2025,5.8,GW
YZ,IND_BOILER,Gas,IND-HH,2025,3.74,GW
YZ,IND_BOILER,Gas,IND-LH,2025,5.5,GW
YZ,IND_BOILER,Hrdc,IND-HH,2025,4.96,GW
YZ,IND_BOILER,Hrdc,IND-LH,2025,1.9,GW
YZ,IND_BOILER,Oil,IND-HH,2025,2.76,GW
YZ,IND_BOILER,Oil,IND-LH,2025,3.54,GW
